Country,Clicks,Impressions,CTR,Position
United States,37,7510,0.49%,36.14
Egypt,3,3,100%,1.33
India,1,42,2.38%,38.81
Canada,1,24,4.17%,4.5
Colombia,1,2,50%,23.5
United Kingdom,0,88,0%,29.81
Pakistan,0,36,0%,48.86
France,0,28,0%,24.86
Philippines,0,25,0%,25.24
Mexico,0,19,0%,21.53
Brazil,0,18,0%,11.33
Germany,0,15,0%,40.33
Portugal,0,13,0%,18
Spain,0,13,0%,33.92
Thailand,0,10,0%,28.2
Russia,0,9,0%,17.78
Argentina,0,9,0%,22.56
Bangladesh,0,8,0%,22.25
Indonesia,0,8,0%,26.88
Australia,0,5,0%,17.2
Malaysia,0,5,0%,30.6
Turkey,0,5,0%,37.6
Italy,0,5,0%,79.4
Vietnam,0,4,0%,24
Morocco,0,4,0%,26.75
Jordan,0,4,0%,31.25
Iran,0,4,0%,56
China,0,3,0%,5
Ukraine,0,3,0%,8.67
Poland,0,3,0%,20.67
Czechia,0,3,0%,23
Ireland,0,3,0%,36.33
Algeria,0,3,0%,55.67
Hungary,0,3,0%,64
Nigeria,0,2,0%,7
Singapore,0,2,0%,9
Ecuador,0,2,0%,9.5
Saudi Arabia,0,2,0%,21
Belize,0,2,0%,22.5
Japan,0,2,0%,26.5
Latvia,0,2,0%,30
Nepal,0,1,0%,2
Mauritius,0,1,0%,3
South Korea,0,1,0%,4
United Arab Emirates,0,1,0%,5
Georgia,0,1,0%,8
Jamaica,0,1,0%,8
Netherlands,0,1,0%,9
Romania,0,1,0%,9
Venezuela,0,1,0%,9
Serbia,0,1,0%,10
Ethiopia,0,1,0%,11
Greece,0,1,0%,11
Taiwan,0,1,0%,13
Croatia,0,1,0%,21
Belgium,0,1,0%,31
New Zealand,0,1,0%,35
Honduras,0,1,0%,38
Uzbekistan,0,1,0%,41
Austria,0,1,0%,52
Peru,0,1,0%,81
