Country,Clicks,Impressions,CTR,Position
United States,187,32714,0.57%,38.73
United Kingdom,8,81,9.88%,21.41
Pakistan,5,144,3.47%,54.85
India,3,125,2.4%,51.98
Morocco,2,14,14.29%,37.07
Mexico,1,32,3.12%,36.44
Bangladesh,1,14,7.14%,35.64
Portugal,1,13,7.69%,19.38
Nigeria,1,13,7.69%,29.77
Nicaragua,1,2,50%,81
Canada,0,84,0%,13.65
Brazil,0,76,0%,29.2
Philippines,0,70,0%,26.69
Vietnam,0,59,0%,44.1
Argentina,0,39,0%,33.05
Russia,0,39,0%,51.69
Indonesia,0,33,0%,47.48
Germany,0,26,0%,32.35
France,0,24,0%,12.79
Italy,0,22,0%,29.59
Thailand,0,19,0%,47.16
South Africa,0,16,0%,46
Ukraine,0,16,0%,47.69
South Korea,0,15,0%,31.27
Spain,0,15,0%,39.67
Egypt,0,15,0%,53.53
Colombia,0,13,0%,46.46
Algeria,0,13,0%,55.77
Netherlands,0,11,0%,44.18
Peru,0,11,0%,51.36
Poland,0,10,0%,49.2
Turkey,0,9,0%,16.22
Venezuela,0,9,0%,36.67
United Arab Emirates,0,8,0%,38
Ecuador,0,7,0%,24.86
Saudi Arabia,0,7,0%,42.57
Romania,0,7,0%,55.57
Japan,0,6,0%,40.83
Nepal,0,6,0%,44
Chile,0,6,0%,49
Dominican Republic,0,6,0%,65.83
China,0,5,0%,6.6
Tunisia,0,5,0%,21.8
Honduras,0,5,0%,23.6
Australia,0,5,0%,25.2
Malaysia,0,5,0%,35
Czechia,0,5,0%,57.8
Serbia,0,5,0%,60.8
Jordan,0,4,0%,2
Albania,0,4,0%,33.25
Sweden,0,4,0%,33.25
Taiwan,0,4,0%,36.25
Iraq,0,4,0%,37.75
Estonia,0,4,0%,43.75
Hong Kong,0,4,0%,70
Singapore,0,3,0%,5.33
Mongolia,0,3,0%,14.67
Kenya,0,3,0%,25.67
Guatemala,0,3,0%,31
Belarus,0,3,0%,34
Ireland,0,3,0%,35.67
Israel,0,3,0%,41.33
Trinidad & Tobago,0,3,0%,43
Bolivia,0,3,0%,45
Belize,0,3,0%,53.33
Cameroon,0,3,0%,59.33
Ghana,0,3,0%,85.67
Uzbekistan,0,2,0%,1.5
Azerbaijan,0,2,0%,2.5
Austria,0,2,0%,8
Panama,0,2,0%,10.5
Puerto Rico,0,2,0%,21
Qatar,0,2,0%,21.5
Oman,0,2,0%,27
Slovenia,0,2,0%,27
Zimbabwe,0,2,0%,54
Croatia,0,2,0%,56.5
Syria,0,2,0%,57
Bulgaria,0,2,0%,57.5
Latvia,0,2,0%,60.5
Slovakia,0,2,0%,67
Angola,0,2,0%,70
Hungary,0,2,0%,73
Georgia,0,2,0%,77
Greece,0,2,0%,81
Sri Lanka,0,2,0%,82.5
Iceland,0,1,0%,1
Paraguay,0,1,0%,6
Jamaica,0,1,0%,9
Moldova,0,1,0%,14
Iran,0,1,0%,16
Mozambique,0,1,0%,18
Côte d’Ivoire,0,1,0%,25
St. Lucia,0,1,0%,30
Armenia,0,1,0%,42
Lithuania,0,1,0%,42
Belgium,0,1,0%,46
Brunei,0,1,0%,46
American Samoa,0,1,0%,48
Norway,0,1,0%,55
Bosnia & Herzegovina,0,1,0%,56
Laos,0,1,0%,57
Myanmar (Burma),0,1,0%,60
St. Kitts & Nevis,0,1,0%,62
Congo - Kinshasa,0,1,0%,64
New Zealand,0,1,0%,64
El Salvador,0,1,0%,64
Tanzania,0,1,0%,65
Switzerland,0,1,0%,76
Bahrain,0,1,0%,79
