Date,Clicks,Impressions,CTR,Position
2026-07-23,2,216,0.93%,36
2026-07-24,2,480,0.42%,21.8
2026-07-25,1,494,0.2%,19.4
2026-07-26,2,537,0.37%,21.8
2026-07-27,5,350,1.43%,20.1
2026-07-28,3,322,0.93%,27.5
2026-07-29,2,229,0.87%,21.3
2026-07-30,1,886,0.11%,55.4
2026-07-31,2,241,0.83%,35.4
2026-08-01,0,204,0%,34.8
2026-08-02,1,330,0.3%,43
2026-08-03,1,376,0.27%,49.8
2026-08-04,3,373,0.8%,39.6
2026-08-05,0,293,0%,41.3
2026-08-06,3,293,1.02%,44.3
2026-08-07,0,210,0%,40.3
2026-08-08,0,195,0%,38.5
2026-08-09,2,237,0.84%,51.1
2026-08-10,2,362,0.55%,21.3
2026-08-11,3,278,1.08%,35.2
2026-08-12,2,271,0.74%,39.5
2026-08-13,3,248,1.21%,42.8
2026-08-14,3,206,1.46%,38.9
2026-08-15,0,120,0%,39.3
2026-08-16,0,220,0%,32.2
