Date,Clicks,Impressions,CTR,Position
2026-07-23,2,211,0.95%,36.4
2026-07-24,2,465,0.43%,22.2
2026-07-25,1,493,0.2%,19.5
2026-07-26,2,453,0.44%,25.6
2026-07-27,5,340,1.47%,19.4
2026-07-28,3,302,0.99%,29.1
2026-07-29,2,221,0.9%,20.7
2026-07-30,1,225,0.44%,32.5
2026-07-31,2,191,1.05%,31.5
2026-08-01,0,113,0%,30.2
2026-08-02,1,241,0.41%,43.9
2026-08-03,1,266,0.38%,35.9
2026-08-04,3,269,1.12%,36.2
2026-08-05,0,228,0%,40.1
2026-08-06,3,212,1.42%,42.3
2026-08-07,0,166,0%,42.6
2026-08-08,0,104,0%,26.8
2026-08-09,2,154,1.3%,52.4
2026-08-10,2,297,0.67%,14.4
2026-08-11,3,222,1.35%,31.3
2026-08-12,2,219,0.91%,36.9
2026-08-13,3,183,1.64%,37.4
2026-08-14,3,119,2.52%,27.7
2026-08-15,0,53,0%,22
2026-08-16,0,134,0%,27
