Country,Clicks,Impressions,CTR,Position
United States,37,5493,0.67%,30.68
Egypt,3,3,100%,1.33
India,1,40,2.5%,36.2
Canada,1,24,4.17%,4.5
Colombia,1,2,50%,23.5
United Kingdom,0,61,0%,14.2
Pakistan,0,26,0%,26.5
Philippines,0,24,0%,21.25
France,0,20,0%,6.9
Mexico,0,18,0%,17.67
Brazil,0,17,0%,7.24
Portugal,0,10,0%,5.1
Thailand,0,10,0%,28.2
Spain,0,9,0%,11.89
Germany,0,9,0%,14.33
Russia,0,9,0%,17.78
Bangladesh,0,8,0%,22.25
Argentina,0,8,0%,25.25
Indonesia,0,8,0%,26.88
Australia,0,5,0%,17.2
Malaysia,0,5,0%,30.6
Turkey,0,5,0%,37.6
Vietnam,0,4,0%,24
Morocco,0,4,0%,26.75
Jordan,0,4,0%,31.25
China,0,3,0%,5
Ukraine,0,3,0%,8.67
Poland,0,3,0%,20.67
Czechia,0,3,0%,23
Iran,0,3,0%,41
Algeria,0,3,0%,55.67
Nigeria,0,2,0%,7
Singapore,0,2,0%,9
Ecuador,0,2,0%,9.5
Saudi Arabia,0,2,0%,21
Belize,0,2,0%,22.5
Hungary,0,2,0%,25.5
Japan,0,2,0%,26.5
Latvia,0,2,0%,30
Italy,0,2,0%,42
Nepal,0,1,0%,2
Mauritius,0,1,0%,3
South Korea,0,1,0%,4
United Arab Emirates,0,1,0%,5
Ireland,0,1,0%,7
Georgia,0,1,0%,8
Jamaica,0,1,0%,8
Netherlands,0,1,0%,9
Romania,0,1,0%,9
Venezuela,0,1,0%,9
Serbia,0,1,0%,10
Ethiopia,0,1,0%,11
Greece,0,1,0%,11
Taiwan,0,1,0%,13
Croatia,0,1,0%,21
New Zealand,0,1,0%,35
Honduras,0,1,0%,38
Uzbekistan,0,1,0%,41
Austria,0,1,0%,52
