Date,Clicks,Impressions,CTR,Position
2026-04-22,2,487,0.41%,30.1
2026-04-23,8,471,1.7%,36
2026-04-24,4,539,0.74%,37.8
2026-04-25,4,499,0.8%,38.8
2026-04-26,2,1191,0.17%,43.2
2026-04-27,2,603,0.33%,39.5
2026-04-28,2,457,0.44%,41.5
2026-04-29,3,415,0.72%,36
2026-04-30,3,378,0.79%,41.9
2026-05-01,5,436,1.15%,40.1
2026-05-02,6,481,1.25%,33
2026-05-03,2,463,0.43%,39.9
2026-05-04,9,764,1.18%,37.4
2026-05-05,5,659,0.76%,31.8
2026-05-06,2,492,0.41%,42.7
2026-05-07,1,463,0.22%,40.9
2026-05-08,2,462,0.43%,40.2
2026-05-09,1,528,0.19%,42.4
2026-05-10,2,505,0.4%,39.7
2026-05-11,2,704,0.28%,39.7
2026-05-12,3,559,0.54%,41.5
2026-05-13,6,506,1.19%,42.8
2026-05-14,2,474,0.42%,42.6
2026-05-15,2,585,0.34%,46.7
2026-05-16,3,522,0.57%,51.2
2026-05-17,1,564,0.18%,47.8
2026-05-18,7,928,0.75%,43.5
2026-05-19,2,667,0.3%,42.5
2026-05-20,0,582,0%,49.3
2026-05-21,1,530,0.19%,48.9
2026-05-22,4,473,0.85%,40.5
2026-05-23,5,381,1.31%,47
2026-05-24,3,562,0.53%,54.8
2026-05-25,1,580,0.17%,43.6
2026-05-26,7,507,1.38%,44
2026-05-27,4,435,0.92%,44.2
2026-05-28,1,439,0.23%,48.7
2026-05-29,1,292,0.34%,50.2
2026-05-30,2,204,0.98%,46.9
2026-05-31,0,254,0%,45.8
2026-06-01,2,385,0.52%,33.2
2026-06-02,3,333,0.9%,29.4
2026-06-03,0,197,0%,48.3
2026-06-04,3,256,1.17%,46.8
2026-06-05,1,218,0.46%,43
2026-06-06,1,231,0.43%,44.6
2026-06-07,1,292,0.34%,52
2026-06-08,5,405,1.23%,28.3
2026-06-09,3,299,1%,32.9
2026-06-10,1,274,0.36%,34.9
2026-06-11,1,237,0.42%,28.5
2026-06-12,3,256,1.17%,35
2026-06-13,0,236,0%,36
2026-06-14,2,220,0.91%,37.7
2026-06-15,2,391,0.51%,25.6
2026-06-16,0,379,0%,25.3
2026-06-17,4,252,1.59%,36.8
2026-06-18,1,184,0.54%,37
2026-06-19,4,148,2.7%,23.9
2026-06-20,0,199,0%,30
2026-06-21,1,462,0.22%,29.8
2026-06-22,2,488,0.41%,22.8
2026-06-23,1,388,0.26%,35.5
2026-06-24,3,239,1.26%,33.8
2026-06-25,5,185,2.7%,33
2026-06-26,2,101,1.98%,21.6
2026-06-27,1,93,1.08%,28.6
2026-06-28,1,200,0.5%,15.1
2026-06-29,1,278,0.36%,33.5
2026-06-30,0,278,0%,31.8
2026-07-01,1,257,0.39%,35.7
2026-07-02,1,225,0.44%,39.7
2026-07-03,0,183,0%,47.5
2026-07-04,0,224,0%,42
2026-07-05,0,293,0%,35.5
2026-07-06,2,269,0.74%,34.5
2026-07-07,2,333,0.6%,29.1
2026-07-08,5,258,1.94%,32.9
2026-07-09,2,294,0.68%,33.3
2026-07-10,0,278,0%,30.8
2026-07-11,1,209,0.48%,43.7
2026-07-12,0,284,0%,32.5
2026-07-13,3,353,0.85%,36.5
2026-07-14,1,302,0.33%,34
2026-07-15,1,210,0.48%,18.4
2026-07-16,2,197,1.02%,29.8
2026-07-17,2,90,2.22%,29.3
2026-07-18,0,69,0%,26.9
2026-07-19,0,196,0%,39.2
2026-07-20,6,175,3.43%,19.1
2026-07-21,5,166,3.01%,19.5
