Top pages,Clicks,Impressions,CTR,Position
https://corefourroofing.com/,174,10369,1.68%,28.99
https://www.corefourroofing.com/,10,1935,0.52%,16.11
https://corefourroofing.com/premium-roofing/f-wave/,5,545,0.92%,40.73
https://corefourroofing.com/about-us/,4,401,1%,4.51
https://corefourroofing.com/service-areas/,3,965,0.31%,6.25
https://corefourroofing.com/commercial-roofing/,2,628,0.32%,10.76
https://corefourroofing.com/commercial-roofing/roof-inspection/,1,6692,0.01%,54.53
https://corefourroofing.com/emergency-services/roof-tarping/,1,1512,0.07%,38.8
https://corefourroofing.com/commercial-roofing/pvc/,1,1288,0.08%,56.83
https://corefourroofing.com/residential-roofing/stone-coated-steel/,1,1043,0.1%,19.21
https://corefourroofing.com/financing/,1,849,0.12%,43.4
https://corefourroofing.com/residential-roofing/,1,609,0.16%,8.23
https://corefourroofing.com/residential-roofing/synthetic-roofs/,1,444,0.23%,33.28
https://corefourroofing.com/contact-us/,1,443,0.23%,9.48
https://corefourroofing.com/residential-roofing/roof-installation/,1,377,0.27%,6.98
https://corefourroofing.com/service-areas/houston-tx/,1,338,0.3%,7.49
https://corefourroofing.com/commercial-roofing/roof-installation/,1,220,0.45%,18.03
https://corefourroofing.com/reviews/,1,148,0.68%,6.77
https://corefourroofing.com/exterior-services/soffits/,1,123,0.81%,24.12
https://corefourroofing.com/commercial-roofing/roof-coatings/,1,52,1.92%,28.08
https://corefourroofing.com/gallery/,1,45,2.22%,6.78
https://corefourroofing.com/commercial-roofing/coatings-restoration/,1,38,2.63%,14
https://corefourroofing.com/exterior-services/fascia/,0,2040,0%,39.72
https://corefourroofing.com/premium-roofing/tile-roofs/,0,1204,0%,34.92
https://corefourroofing.com/premium-roofing/stone-coated-steel/,0,1037,0%,44.5
https://corefourroofing.com/residential-roofing/metal-roofs/,0,877,0%,50.68
https://corefourroofing.com/instant-roof-quote/,0,736,0%,48.21
https://corefourroofing.com/commercial-roofing/epdm/,0,563,0%,22.41
https://corefourroofing.com/emergency-services/roof-storm-damage/,0,440,0%,60.83
https://corefourroofing.com/commercial-roofing/modified-bitumen/,0,420,0%,28.28
https://corefourroofing.com/contact-core-four-roofing/,0,408,0%,10.97
https://corefourroofing.com/exterior-services/solar-fan/,0,396,0%,37.49
https://corefourroofing.com/premium-roofing/,0,350,0%,38.3
https://corefourroofing.com/commercial-roofing/tpo/,0,306,0%,37.76
https://corefourroofing.com/about-core-four-roofing/,0,252,0%,4.63
https://corefourroofing.com/insurance-claims/,0,242,0%,24.57
https://corefourroofing.com/residential-roofing/asphalt-shingles/,0,234,0%,35.48
https://corefourroofing.com/commercial-roofing/roof-replacement-installation/,0,233,0%,12.83
https://corefourroofing.com/residential-roofing/flat-roofs/,0,222,0%,34.23
https://corefourroofing.com/exterior-services/skylights/,0,207,0%,39.86
https://corefourroofing.com/storm-emergency/,0,183,0%,3
https://corefourroofing.com/commercial-roofing/repair-preventative-maintenance/,0,178,0%,9.85
https://corefourroofing.com/service-areas/dallas-tx/,0,164,0%,16.13
https://corefourroofing.com/exterior-services/,0,111,0%,10.44
https://corefourroofing.com/residential-roofing/roof-repair/,0,83,0%,12.01
https://corefourroofing.com/emergency-services/,0,83,0%,28.87
https://corefourroofing.com/commercial-roofing/roof-repair/,0,78,0%,50.96
https://corefourroofing.com/residential-roofing/roof-inspection/,0,64,0%,38.2
https://corefourroofing.com/commercial-roofing/inspections-condition-reports/,0,59,0%,14.83
https://corefourroofing.com/service-areas/central-texas/,0,58,0%,8.9
https://corefourroofing.com/residential-roofing/roof-replacement/,0,56,0%,12.09
https://corefourroofing.com/commercial-roofing/roof-replacement/,0,52,0%,45.62
http://www.corefourroofing.com/,0,47,0%,1
https://corefourroofing.com/sub-page-template/,0,25,0%,6.68
https://corefourroofing.com/residential-roofing/roof-inspections/,0,23,0%,6.04
https://corefourroofing.com/exterior-services/siding/,0,8,0%,29.88
https://corefourroofing.com/exterior-services/gutters/,0,8,0%,38.88
